,ID,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
0,0xcdcd,36.0,4.2,Fog,Jam,2,Snack,motorcycle,3.0,No,Metropolitian,46,10.28058206443576
1,0xd987,21.0,4.7,Stormy,High,1,Meal,motorcycle,1.0,No,Metropolitian,23,6.2423186826496
2,0x2784,23.0,4.7,Sandstorms,Medium,1,Drinks,scooter,1.0,No,Metropolitian,21,13.787860239228515
3,0xc8b6,34.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,20,2.9302578014969822
4,0xdb64,24.0,4.7,Fog,Jam,1,Snack,scooter,1.0,No,Metropolitian,41,19.39661829066454
5,0x3af3,29.0,4.5,Sandstorms,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,20,13.763977224483765
6,0x3aab,35.0,4.0,Windy,High,1,Meal,scooter,1.0,No,Metropolitian,33,6.218001190136035
7,0x689b,33.0,4.2,Sandstorms,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,40,16.849939917998213
8,0x6f67,34.0,4.9,Cloudy,Jam,0,Snack,motorcycle,,No,Metropolitian,41,10.757108800062763
9,0xc9cf,21.0,4.7,Windy,Jam,0,Meal,motorcycle,1.0,No,Urban,15,4.540574388345036
10,0x36b8,25.0,4.1,Sandstorms,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,36,12.256076445503636
11,0x5795,31.0,4.7,Sandstorms,Low,2,Meal,electric_scooter,0.0,No,Metropolitian,26,19.618739348803757
12,0x6c6b,37.0,5.0,Sandstorms,Low,1,Snack,motorcycle,1.0,No,Metropolitian,20,1.5581322628541128
13,0xb816,33.0,4.3,Windy,Jam,2,Meal,scooter,1.0,No,Metropolitian,39,20.180635114116615
14,0x539b,25.0,4.0,Cloudy,High,1,Buffet,motorcycle,1.0,No,Metropolitian,34,6.116971669631634
15,0xa1b2,29.0,4.5,Sunny,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,15,17.075594401053486
16,0x3231,27.0,5.0,Stormy,Jam,0,Snack,motorcycle,0.0,No,Urban,18,4.470286489054095
17,0x8bc0,35.0,4.3,Cloudy,Low,1,Drinks,scooter,0.0,No,Metropolitian,38,13.682044526137476
18,0x2288,32.0,4.0,Windy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,47,13.973182653974487
19,0x3c5e,23.0,4.8,Windy,Low,2,Buffet,electric_scooter,0.0,No,Urban,12,16.85361872983505
20,0x3e60,31.0,4.8,Sandstorms,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,26,4.6741721238665574
21,0xbff,36.0,4.1,Stormy,Low,0,Drinks,motorcycle,1.0,No,Urban,22,7.601616771126665
22,0xd936,26.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Urban,21,7.720324413236151
23,0xd681,38.0,4.9,Cloudy,High,1,Drinks,scooter,1.0,No,Urban,25,6.1756362609666775
24,0x2876,32.0,3.5,Stormy,Jam,1,Snack,scooter,0.0,No,Urban,35,17.297865752893937
25,0x30c8,32.0,4.6,Cloudy,Low,2,Drinks,scooter,1.0,No,Metropolitian,30,19.91468696565216
26,0xb843,33.0,4.9,Sunny,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,22,10.724517747852177
27,0xb3a0,20.0,4.7,Windy,High,1,Snack,scooter,0.0,No,Urban,10,6.127835452793534
28,0x6531,20.0,4.8,Sandstorms,Low,2,Meal,scooter,1.0,No,Metropolitian,19,1.5203573107647184
29,0x4bda,35.0,5.0,Sunny,Low,2,Snack,scooter,1.0,No,Urban,11,3.073453760708029
30,0x9d26,26.0,4.9,Stormy,Low,2,Buffet,scooter,0.0,No,Metropolitian,11,3.1051314783244868
31,0x9b18,22.0,4.8,Fog,Low,1,Snack,motorcycle,1.0,No,Metropolitian,28,10.867426834284053
32,0x5d99,35.0,4.3,Cloudy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,33,10.86546460358291
33,0x4f0,,,Cloudy,Medium,1,Drinks,scooter,1.0,No,Metropolitian,33,12.23672361637089
34,0xb796,37.0,4.7,Sandstorms,Jam,0,Snack,motorcycle,3.0,No,Metropolitian,52,13.682516298648101
35,0x85b4,28.0,4.6,Stormy,Jam,1,Snack,scooter,1.0,No,Metropolitian,22,16.826241648639858
36,0xc644,37.0,4.9,Fog,Low,1,Snack,scooter,1.0,No,Urban,16,3.0272369317334626
37,0x6999,23.0,4.9,Sunny,Jam,2,Drinks,electric_scooter,0.0,No,Metropolitian,11,9.175193844119168
38,0x63b6,27.0,4.9,Windy,Medium,1,Drinks,scooter,1.0,No,Metropolitian,25,9.31506917709835
39,0xa30b,37.0,4.8,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Urban,26,6.209021101484128
40,0x3556,33.0,5.0,Sunny,High,2,Snack,scooter,1.0,No,Metropolitian,18,1.5203447251019993
41,0x5554,31.0,4.9,Fog,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,16,6.037225392395853
42,0x25fd,31.0,4.8,Stormy,Low,2,Drinks,scooter,1.0,No,Metropolitian,23,17.078665498330796
43,0xc1ff,25.0,5.0,Cloudy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,15,4.717601091654031
44,0x7ac8,28.0,4.8,Sandstorms,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,36,12.464329297404836
45,0x3da1,31.0,4.7,Cloudy,Low,2,Snack,motorcycle,0.0,No,Metropolitian,16,9.121425981664203
46,0x272d,24.0,4.7,Sunny,Medium,0,Buffet,motorcycle,0.0,No,Urban,19,14.023232083141643
47,0xddc5,39.0,4.6,Sunny,Low,1,Snack,motorcycle,1.0,No,Metropolitian,27,13.392612276718708
48,0x8e6c,39.0,4.2,Fog,Jam,2,Snack,scooter,1.0,No,Semi-Urban,49,12.58026782216666
49,0xb002,32.0,4.5,Windy,Low,2,Buffet,scooter,0.0,No,,20,1.4899271618026915
50,0x395b,36.0,4.7,Cloudy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,30,9.435201537103644
51,0x8aa2,25.0,4.8,Sandstorms,Low,1,Drinks,scooter,0.0,No,Urban,18,11.916582838065272
52,0xb55a,33.0,4.9,Sunny,Jam,2,Drinks,scooter,0.0,No,Metropolitian,22,4.663566688756208
53,0x73cc,30.0,4.4,Cloudy,Low,2,Drinks,scooter,1.0,No,Metropolitian,34,10.641157729145194
54,0xbe80,33.0,5.0,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Urban,24,16.818368923714367
55,0x1609,36.0,4.9,Fog,Medium,2,Drinks,scooter,1.0,No,Metropolitian,17,6.12855125786952
56,0xd255,21.0,4.8,Sandstorms,Low,2,Meal,electric_scooter,0.0,No,Metropolitian,14,2.996250037417318
57,0xde72,39.0,4.9,Stormy,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,30,7.342175722911471
58,0x98aa,23.0,4.8,Stormy,Low,1,Meal,scooter,1.0,No,Metropolitian,15,3.1450674354101187
59,0x273a,35.0,4.8,Fog,Medium,2,Buffet,scooter,1.0,No,Urban,16,6.29013467758336
60,0xa258,39.0,4.6,Cloudy,Jam,1,Snack,scooter,1.0,No,Metropolitian,36,13.972123977235706
61,0x8b53,22.0,4.7,Sunny,High,1,Buffet,scooter,1.0,No,Urban,18,6.081440796957423
62,0xbbde,32.0,4.6,Fog,Medium,1,Meal,scooter,0.0,No,Metropolitian,17,6.080891507792573
63,0x5ded,24.0,4.8,Sandstorms,Low,1,Buffet,motorcycle,1.0,No,Urban,15,12.58026782216666
64,0x1a70,29.0,4.7,Fog,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,17,3.1450674354101187
65,0xa9f,,,,,1,Drinks,scooter,0.0,No,Metropolitian,19,6.210589610263767
66,0x4b7f,26.0,4.7,Fog,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,10,9.220373066701908
67,0xc606,20.0,4.5,Fog,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,27,7.862668167467362
68,0xb962,35.0,4.1,Sandstorms,Jam,1,Buffet,motorcycle,2.0,No,Metropolitian,37,13.969606427741528
69,0x633c,39.0,4.6,Fog,Jam,1,Drinks,scooter,2.0,No,Metropolitian,44,13.973206773195638
70,0x2dc6,34.0,4.7,Windy,High,2,Drinks,electric_scooter,1.0,No,Metropolitian,28,6.058853851619802
71,0x903a,27.0,4.7,Cloudy,Jam,2,Snack,scooter,1.0,No,Metropolitian,42,17.077992872142435
72,0xc444,30.0,4.8,Windy,Low,1,Snack,motorcycle,1.0,No,Metropolitian,25,17.297865752893937
73,0x1fb7,25.0,4.4,Cloudy,Medium,2,Snack,scooter,1.0,No,Metropolitian,39,17.072871906379
74,0x34d7,25.0,4.7,Stormy,Medium,0,Meal,motorcycle,0.0,No,Urban,20,16.818368923714367
75,0x156b,30.0,5.0,Stormy,High,1,Buffet,motorcycle,1.0,No,Metropolitian,31,2.9795028513237054
76,0x56ad,24.0,4.6,Stormy,Jam,1,Buffet,motorcycle,0.0,No,Metropolitian,13,9.220865974717585
77,0x837c,39.0,4.8,Stormy,Jam,1,Meal,motorcycle,,No,Metropolitian,28,7.661331134276324
78,0xcbc4,25.0,4.8,Windy,High,1,Snack,scooter,1.0,No,Urban,19,6.17551609335669
79,0xc19e,37.0,4.6,Fog,Low,0,Buffet,motorcycle,2.0,Yes,Urban,42,12.209856560678714
80,0x1d60,24.0,5.0,Fog,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,23,1.5526813114038203
81,0x95fb,25.0,4.2,Stormy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,39,16.90280673247877
82,0x8195,32.0,4.6,Stormy,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,25,1.5093577670164835
83,0xc042,34.0,4.7,Sandstorms,Low,1,Drinks,scooter,0.0,No,Metropolitian,15,6048.631240095336
84,0x6d19,38.0,4.9,Cloudy,Low,2,Drinks,scooter,1.0,No,Urban,15,3.025118639776791
85,0x35e6,36.0,4.8,Sunny,Medium,2,Buffet,electric_scooter,0.0,No,Metropolitian,15,13.40709269305718
86,0xb437,25.0,5.0,Stormy,Jam,1,Meal,motorcycle,,No,Metropolitian,15,16.721976048723068
87,0x97e3,29.0,5.0,Sunny,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,18,7.772343594520689
88,0xa3e0,36.0,4.7,Sandstorms,Low,2,Drinks,electric_scooter,0.0,No,Metropolitian,29,13.773737657135722
89,0x4161,33.0,4.7,Fog,Low,0,Snack,motorcycle,0.0,No,Metropolitian,20,7.7901589271416665
90,0x1236,36.0,4.4,Cloudy,High,2,Meal,scooter,1.0,No,Metropolitian,39,6.217834398528468
91,0x2558,21.0,4.8,Windy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,19,16.852834881439975
92,0x3185,25.0,4.8,Cloudy,Low,1,Snack,scooter,1.0,No,Urban,19,4.61003560186968
93,0x3c57,23.0,4.8,Windy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,17,19.879870677376758
94,0x4863,25.0,4.6,Stormy,Low,2,Snack,motorcycle,1.0,No,Urban,15,1.5580833958912035
95,0x6757,24.0,4.3,Sandstorms,Low,0,Meal,motorcycle,0.0,No,Urban,19,3.0253327069320104
96,0x22ad,27.0,4.6,Sandstorms,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,29,13.971948960232016
97,0x9f99,23.0,4.8,Cloudy,Low,2,Snack,scooter,1.0,No,Urban,22,16.83090555191252
98,0x6781,21.0,4.3,Fog,Jam,1,Drinks,scooter,0.0,No,Metropolitian,42,20.207797933361025
99,0x1b8d,27.0,4.7,Sandstorms,Low,2,Snack,scooter,0.0,No,Urban,12,3.0406416222998804
100,0x1aea,32.0,4.2,Cloudy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,38,20.253785359472815
101,0x1e42,25.0,4.6,Sunny,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,23,16.72129600978426
102,0xddc8,39.0,4.7,Cloudy,Low,1,Meal,scooter,0.0,No,Metropolitian,15,2.9845507905351676
103,0x24ac,27.0,4.6,Sunny,Low,0,Snack,motorcycle,1.0,No,Metropolitian,24,12.161450531210752
104,0x3f01,39.0,3.8,Windy,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,37,16.82215560929809
105,0x628c,31.0,4.8,Sandstorms,Low,1,Snack,scooter,0.0,No,Metropolitian,24,7.762556904414814
106,0x6c38,31.0,4.8,Sunny,Low,2,Buffet,electric_scooter,0.0,No,Metropolitian,13,9.055855161651426
107,0x4beb,20.0,4.8,Cloudy,Low,0,Drinks,motorcycle,0.0,No,,16,1.554581660395558
108,0x8339,36.0,4.9,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Urban,42,12.07404749780293
109,0x3ec5,20.0,4.9,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,17,13.580373876336532
110,0xadb4,24.0,4.6,Cloudy,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,25,4.469620875318019
111,0x6e2,,,,,3,Snack,electric_scooter,0.0,No,Metropolitian,25,16.659838319151632
112,0x2bc0,39.0,4.2,Fog,Medium,1,Snack,scooter,0.0,No,Metropolitian,39,16.634870118192893
113,0x99e7,37.0,4.8,Sunny,High,2,Meal,scooter,0.0,No,Metropolitian,18,6.232139486618366
114,0x39ef,32.0,4.9,Sandstorms,Medium,2,Drinks,motorcycle,1.0,No,Metropolitian,28,6.209021101484128
115,0xe264,22.0,4.5,Sandstorms,Low,1,Drinks,scooter,1.0,No,Metropolitian,18,7.460830127790333
116,0xbd03,23.0,4.9,Windy,Low,1,Meal,scooter,0.0,No,Metropolitian,18,20.253785359472815
117,0x9a29,33.0,4.7,Fog,Jam,1,Snack,scooter,1.0,No,Metropolitian,49,16.60097570057656
118,0xd0e5,23.0,,Sunny,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,15,4.540321372506127
119,0xa480,27.0,4.6,Sunny,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,21,12.421212735735056
120,0xb46c,34.0,4.7,Sunny,High,2,Snack,scooter,0.0,No,Metropolitian,23,6.118711846640849
121,0x7150,26.0,5.0,Fog,Low,2,Meal,scooter,1.0,No,Urban,11,1.5204319453616324
122,0x1e58,31.0,4.6,Cloudy,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,25,9.08797274434547
123,0x4460,32.0,4.9,Fog,Low,2,Snack,motorcycle,0.0,No,Metropolitian,18,3.064487106530194
124,0x977d,27.0,4.7,Cloudy,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,14,3.0251443298722513
125,0x1602,21.0,4.9,Windy,Medium,0,Drinks,motorcycle,2.0,No,Metropolitian,36,13.973206773195638
126,0x894e,28.0,4.8,Fog,Low,1,Drinks,motorcycle,,No,Metropolitian,18,7.7631027847825544
127,0x5a01,24.0,4.9,Fog,Medium,1,Meal,scooter,1.0,No,Urban,17,6.29013467758336
128,0x655,33.0,4.4,Sandstorms,Low,0,Snack,motorcycle,1.0,No,Metropolitian,28,1.536850377186336
129,0x20f6,20.0,4.6,Fog,Jam,0,Buffet,motorcycle,0.0,Yes,Metropolitian,44,13.973177561634602
130,0x3db1,31.0,4.3,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,20,9.348403522337493
131,0x1ec7,,,Stormy,Low,2,Snack,scooter,0.0,No,,19,4.596576883661558
132,0x8ed2,36.0,5.0,Fog,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,35,10.602467987427858
133,0x64cc,31.0,4.2,Sandstorms,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,50,17.076258901163584
134,0x2ed0,39.0,4.1,Stormy,Jam,1,Meal,scooter,1.0,No,Metropolitian,34,9.220834606789488
135,0x4008,29.0,4.6,Sunny,Jam,2,Meal,electric_scooter,,No,Metropolitian,17,12.1616054457833
136,0x7553,29.0,4.6,Sandstorms,High,1,Snack,scooter,0.0,No,Urban,23,6.080882967543937
137,0x35d8,37.0,4.9,Fog,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,27,4.674143698579478
138,0x9832,33.0,4.7,Cloudy,High,0,Snack,motorcycle,0.0,No,Urban,26,6.29013467758336
139,0x4c88,31.0,3.9,Cloudy,Low,1,Buffet,scooter,1.0,No,Metropolitian,35,10.709003371340927
140,0x9693,37.0,4.6,Windy,High,0,Drinks,motorcycle,1.0,No,Urban,41,6.29013467758336
